trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.39339536442268513, 'e': 0.6518337253008788}",30,0,-42.81351459895638,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",1
138,False,"{'a': 0.39287750298061885, 'e': 0.64705596156944434}",25,0,-23.46071633707767,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
139,False,"{'a': 0.39236458198550861, 'e': 0.64225265317658442}",25,0,-55.79315994126697,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
140,False,"{'a': 0.39185651838977059, 'e': 0.63742398974868975}",30,0,-104.78276703514177,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
141,False,"{'a': 0.3913532311307576, 'e': 0.63257016191312454}",30,0,-154.96637070805298,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
142,False,"{'a': 0.39085464106950035, 'e': 0.62769136129070058}",30,18,-15.611037227263289,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
143,False,"{'a': 0.39036067093175869, 'e': 0.62278778048811256}",30,0,-166.88974521902588,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 4}",0
144,False,"{'a': 0.38987124525128009, 'e': 0.61785961309033444}",20,0,-22.037013013337766,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
145,False,"{'a': 0.38938629031516786, 'e': 0.6129070536529766}",20,0,-22.02213056812419,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
146,False,"{'a': 0.38890573411126694, 'e': 0.60793029769460549}",20,8,4.221410766245369,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.38842950627747896, 'e': 0.60292954168902468}",25,0,-54.59045403744442,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
148,False,"{'a': 0.38795753805292355, 'e': 0.59790498305751894}",20,0,-92.45482972554764,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
149,False,"{'a': 0.38748976223086656, 'e': 0.59285682016105923}",25,0,-89.50981240968119,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
150,False,"{'a': 0.38702611311333962, 'e': 0.58778525229247325}",25,0,-142.20163864474617,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
151,False,"{'a': 0.38656652646737955, 'e': 0.58269047966857612}",20,0,-79.6667930248591,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
152,False,"{'a': 0.38611093948281922, 'e': 0.57757270342226763}",20,0,-32.09902680795776,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
153,False,"{'a': 0.38565929073156535, 'e': 0.57243212559459089}",20,0,6.4480471907257355,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.38521152012830123, 'e': 0.56726894912675663}",20,0,-59.75757101612454,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
155,False,"{'a': 0.38476756889255564, 'e': 0.56208337785213058}",20,3,4.964880594054146,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.38432737951208151, 'e': 0.55687561648818806}",25,0,-61.28222426178674,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
157,False,"{'a': 0.38389089570749185, 'e': 0.5516458706284304}",20,0,-35.84338146002752,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
158,False,"{'a': 0.38345806239810143, 'e': 0.54639434673426912}",20,0,-32.19730760135076,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
159,False,"{'a': 0.38302882566892577, 'e': 0.5411212521268759}",30,0,-35.37821165723263,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
160,False,"{'a': 0.38260313273879087, 'e': 0.53582679497899666}",25,0,-32.75363530254805,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
161,False,"{'a': 0.38218093192951119, 'e': 0.53051118430673416}",20,0,-121.20693366351972,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
162,False,"{'a': 0.38176217263609036, 'e': 0.52517462996129582}",25,6,-44.130815717438765,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 1}",1
163,False,"{'a': 0.3813468052979091, 'e': 0.51981734262070955}",25,7,-15.385122624101065,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.38093478137085696, 'e': 0.51443953378150664}",30,15,-43.378378358842305,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
165,False,"{'a': 0.3805260533003757, 'e': 0.50904141575037143}",25,8,-81.38921150385043,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
166,False,"{'a': 0.38012057449537551, 'e': 0.5036232016357608}",30,6,16.90617589602759,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.37971829930299378, 'e': 0.4981851053394909}",20,13,0.5697467036772241,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.37931918298416195, 'e': 0.49272734154829156}",20,0,-105.54511958786165,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
169,False,"{'a': 0.37892318168995121, 'e': 0.48725012572533227}",35,6,-11.414901079105395,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.37853025243866711, 'e': 0.48175367410171538}",20,0,1.917437304915662,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
171,False,"{'a': 0.378140353093666, 'e': 0.47623820366793912}",30,14,2.3529653378156086,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.37775344234186531, 'e': 0.47070393216533257}",20,6,-29.601862253023373,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
173,False,"{'a': 0.37736947967292223, 'e': 0.46515107807745848}",25,0,4.687513899979855,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.37698842535905763, 'e': 0.45957986062148792}",35,18,17.630102357767015,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.37661024043549962, 'e': 0.4539904997395468}",25,18,11.80848823079777,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.3762348866815256, 'e': 0.44838321609003245}",20,9,4.900326586793625,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.37586232660208097, 'e': 0.4427582310389015}",30,0,-61.5162305304722,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
178,False,"{'a': 0.37549252340995315, 'e': 0.43711576665093282}",20,11,7.537779411905062,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.37512544100848244, 'e': 0.43145604568095902}",35,4,-1.6562686092674883,"{0: 26, 1: 2, 2: 3, 3: 0, 4: 0}",1
180,False,"{'a': 0.37476104397478854, 'e': 0.42577929156507266}",20,0,-64.85130308872766,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
181,False,"{'a': 0.37439929754349699, 'e': 0.42008572841180619}",30,0,-74.68452188985665,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
182,False,"{'a': 0.37404016759094627, 'e': 0.41437558099328425}",30,7,-95.04985549482929,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 2}",1
183,False,"{'a': 0.37368362061985905, 'e': 0.40864907473634909}",25,8,-14.775012181899688,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
184,False,"{'a': 0.37332962374446194, 'e': 0.40290643571366264}",35,21,10.881463192588493,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.37297814467603846, 'e': 0.39714789063478079}",25,0,-68.16225304066185,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
186,False,"{'a': 0.37262915170889893, 'e': 0.39137366683720254}",35,0,-36.00101233036879,"{0: 27, 1: 2, 2: 6, 3: 0, 4: 0}",0
187,False,"{'a': 0.37228261370675486, 'e': 0.38558399227739643}",20,8,-11.934414888379482,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
188,False,"{'a': 0.37193850008948298, 'e': 0.37977909552180111}",20,0,-64.3531812355317,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
189,False,"{'a': 0.3715967808202657, 'e': 0.37395920573780039}",20,14,-13.931922328932908,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
190,False,"{'a': 0.37125742639309628, 'e': 0.36812455268467786}",20,0,3.1531720407619255,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
191,False,"{'a': 0.3709204078206354, 'e': 0.36227536670454574}",20,0,-10.728490509591664,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
192,False,"{'a': 0.37058569662240798, 'e': 0.35641187871325075}",20,10,18.522602271656794,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.37025326481332904, 'e': 0.35053432019125896}",25,0,14.221847346031756,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
194,False,"{'a': 0.36992308489254805, 'e': 0.34464292317451717}",20,9,-23.13705363254809,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
195,False,"{'a': 0.36959512983259996, 'e': 0.33873792024529148}",30,8,23.774691369636095,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.36926937306885504, 'e': 0.33281954452298668}",20,1,-49.47428518910074,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
197,False,"{'a': 0.36894578848925608, 'e': 0.32688802965494268}",25,12,-68.66484193455697,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
198,False,"{'a': 0.36862435042433411, 'e': 0.32094360980720943}",20,0,-8.947531827263354,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
199,False,"{'a': 0.36830503363749489, 'e': 0.31498651965530466}",30,24,13.321458522916759,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.36798781331556535, 'e': 0.30901699437494745}",35,0,11.107048263754251,"{0: 30, 1: 4, 2: 1, 3: 0, 4: 0}",0
201,False,"{'a': 0.36767266505959373, 'e': 0.30303526963277394}",20,10,-14.188473781303049,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
202,False,"{'a': 0.3673595648758945, 'e': 0.29704158157703486}",20,3,-17.37593036148107,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
