trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
10,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,11,24.84608193616152,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",35,17,31.204064857443147,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,10,18.99648370157492,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,12,24.43533801486699,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",30,10,37.48257183516485,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,2,31.6620470443,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,10,21.14795768938955,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,17,18.652074429780193,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",30,16,30.32084553471273,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,15,20.940249076618485,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,9,19.96237630956804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,10,21.30485071585813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,19,12.685416829268615,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,6,24.426526748966033,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,13,20.060687603953205,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,10,19.404279184679638,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,5,25.77061904732739,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",30,16,28.11229939354647,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,8,21.08642972585373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",35,23,24.463992229599672,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,2,25.34661548732436,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,14,22.713653843877196,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,11,17.02157880476048,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,12,27.041635345271402,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,8,31.49357582700638,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,7,23.87962830928121,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,8,32.653101098889884,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,15,18.991889956981513,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,6,23.335008741785046,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,8,29.97866279472273,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,12,17.765310100335803,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",30,9,34.942408495769804,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,13,9.909636093599048,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,20,9.0675627789114,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,13,24.225826082653988,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,13,13.093596688518243,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",30,14,33.595717336985835,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,12,26.617854843760096,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,14,20.95476880312586,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,17,14.611592229713693,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,11,26.33461318044823,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
